filename,JSS,Chi2,PCC
AF01HAS.JPG,0.7134735035255644,0.7132143109814517,0.7738882811931821
AF01NES.JPG,0.720551084640529,0.7279041761507544,0.8020156052825813
AF01SAS.JPG,0.6923261081917896,0.6749852431786836,0.7432593380247314
AF02HAS.JPG,0.6416612593172837,0.5717531010979018,0.6397062328836125
AF02NES.JPG,0.6758346273524474,0.6506107759247886,0.7860899700547117
AF02SAS.JPG,0.6853477908297048,0.6458861362131435,0.755908559929789
AF03HAS.JPG,0.6075691848773206,0.4593931734147845,0.5285398046997553
AF03NES.JPG,0.6782751388016021,0.6508478221451933,0.7363185754985422
AF03SAS.JPG,0.6563348259695289,0.5796323272942931,0.6391199110361291
AF04HAS.JPG,0.6587310965742964,0.594403447894213,0.6474062102479685
AF04NES.JPG,0.697370523821849,0.6784595307112853,0.761212151358118
AF04SAS.JPG,0.5844894641598739,0.3861697436126663,0.4901195433507094
AF05HAS.JPG,0.5495574957937139,0.32970455472982707,0.5748513344879038
AF05NES.JPG,0.7133059892322591,0.7043057713796709,0.7633927491049881
AF05SAS.JPG,0.6784414451415315,0.6308569664087669,0.6790368998654519
AF06HAS.JPG,0.6961551384529922,0.6775766759929818,0.7466933871570581
AF06NES.JPG,0.7112703328764906,0.7039224914597924,0.7443316303165152
AF06SAS.JPG,0.64949590210334,0.5611904855551134,0.5869511415575654
AF07HAS.JPG,0.6602502351656903,0.6126711010152828,0.7689575790933125
AF07NES.JPG,0.7440061805906057,0.7644982498632384,0.800527545595135
AF07SAS.JPG,0.7250157307819867,0.734586429888094,0.787661785995214
AF09HAS.JPG,0.6606282573914832,0.5896783862054386,0.6596886387705075
AF09NES.JPG,0.71113124771112,0.6981386150686388,0.7451574774428203
AF09SAS.JPG,0.7132146786856954,0.7022630512811123,0.7310644197124028
AF10HAS.JPG,0.6771398555063377,0.6500441856939159,0.7392385933906244
AF10NES.JPG,0.7052638439173564,0.6956497364128211,0.7824147930222176
AF10SAS.JPG,0.6837486248150169,0.6502170438528696,0.7220505670733353
AF11HAS.JPG,0.6799555691468319,0.6624397985829552,0.7425302802122848
AF11NES.JPG,0.7227575344847996,0.7311373573344124,0.7939684777070407
AF11SAS.JPG,0.7033660766948376,0.6791960607470773,0.699823653986994
AF12HAS.JPG,0.656066960760435,0.5765381932555447,0.6320543008255262
AF12NES.JPG,0.6828389359796088,0.6403985543783239,0.717142649883914
